Manufacturer,IntelCore,IntelCoreGen,processing speed,Ram,HDD,SSD,Graphics,ScreenSize,Price
1,3,7,2.29,4,1000,0,0,15.6,39057
1,3,7,2.3,4,1000,0,0,15.6,45141
2,3,7,2.3,8,256,256,0,14,35999
4,3,7,2.3,4,1000,0,0,14,39990
2,3,7,2.4,4,1000,0,0,15.6,36263
2,2,4,2.3,4,500,256,0,14,26403
3,3,7,2.3,4,1000,0,0,15.6,38290
2,5,8,1.6,8,1000,0,0,14,53554
3,1,3,1.8,4,1000,0,0,15.6,29990
1,3,8,3.9,4,1000,0,0,14,38090
2,3,7,2.3,8,1000,0,0,15.6,42192
3,2,5,2.3,4,1000,0,0,15.6,34890
2,3,7,2.3,4,1000,0,0,14,33905
3,3,8,2.1,4,1000,0,0,15.6,42590
3,3,8,2.1,8,1000,0,0,15.6,45390
2,3,7,2.3,8,1000,0,0,15.6,40338
4,5,8,1.6,8,512,512,0,15.6,56990
3,1,3,1.8,4,1000,0,0,15.6,30690
2,3,7,2.4,4,1000,0,0,15.6,35634
2,5,9,2.4,8,1000,256,4,15.6,74931
4,5,9,2.1,8,1000,512,4,15.6,97990
2,5,9,2.4,8,1000,0,4,15.6,69071
4,7,8,2.2,8,1000,16,4,15.6,109999
3,7,9,2.6,8,1000,256,4,15.6,118890
3,7,9,2.6,16,1000,256,4,15.6,128690
3,7,9,2.6,8,1000,512,4,15.6,118890
3,5,9,2.4,8,1000,256,3,15.6,92990
4,7,9,2.6,32,1000,512,8,17.3,402990
2,7,9,2.6,8,1000,256,4,15.6,99555
