Battery power,Bluetooth,Microprocessor Speed,Double line,MegaPixels,4G,Internal Memory,Thickness,Weight,core number,Rear Camera MP,Resolution Height,Resolution Width,RAM,Battery Shoulder,3G,Touch,WiFi,Price range,color
325,0,0.9,0,2,0,50,0,46,0,0,499,695,2328,2,0,0,0,0,Beyaz
46,0,2.8,0,0,0,58,0.2,0,8,0,259,40,3863,9,0,0,0,2,Pembe
843,0,0.3,0,0,0,6,0.9,9,7,4,593,732,734,4,0,0,0,3,Mor
894,0,0.5,0,0,0,50,0.5,99,3,4,285,462,3605,6,0,0,0,2,Turuncu
936,0,0,0,0,0,8,0.2,53,3,8,330,686,2390,3,0,0,0,0,Beyaz
62,0,0,0,0,0,50,0.5,4,4,0,332,866,404,5,0,0,0,3,Beyaz
849,0,0.5,0,0,0,29,0.5,80,7,2,978,986,3330,5,0,0,0,2,Gri
860,0,0.5,0,2,0,55,0.7,83,6,3,95,799,676,4,0,0,0,4,Beyaz
536,0,0.8,0,2,0,3,0.3,5,7,20,22,634,2020,6,0,0,0,0,Sarı
539,0,0.6,0,9,0,20,0,45,7,4,550,599,3597,9,0,0,0,0,Mavi
563,0,0.7,0,0,0,6,0,50,7,3,400,572,3922,8,0,0,0,2,Pembe
830,0,0.5,0,0,0,7,0.9,90,6,2,460,583,2334,4,0,0,0,0,Mavi
648,0,0.9,0,4,0,8,0,90,5,9,809,997,2990,4,0,0,0,0,Mor
560,0,2,0,7,0,2,0,93,3,3,55,294,665,4,0,0,0,4,Turkuaz
97,0,0.5,0,9,0,20,0,29,5,0,204,700,2885,4,0,0,0,0,Kahverengi
80,0,0.9,0,3,0,42,0,0,7,7,83,806,2456,7,0,0,0,3,Yeşil
8,0,0.8,0,0,0,60,0,4,3,5,77,22,2009,0,0,0,0,3,Mavi
520,0,2.2,0,5,0,33,0.5,77,8,8,50,5,3826,3,0,0,0,2,Kırmızı
558,0,2.8,0,0,0,49,0.8,42,5,4,997,605,392,8,0,0,0,4,Turkuaz
793,0,0,0,5,0,30,0.9,33,2,5,858,935,2332,4,0,0,0,0,Mavi
260,0,2,0,2,0,23,0.2,23,7,0,905,303,2208,0,0,0,0,0,Kırmızı
600,0,0.8,0,9,0,6,0.8,99,2,5,486,32,3495,7,0,0,0,0,Kırmızı
884,0,0,0,3,0,24,0.5,49,6,4,68,79,396,9,0,0,0,3,Yeşil
600,0,2.5,0,0,0,9,0.6,88,6,9,830,703,79,8,0,0,0,3,Siyah
68,0,0.3,0,6,0,52,0,97,8,7,994,500,436,5,0,0,0,3,Turuncu
904,0,0.7,0,0,0,60,0.9,98,5,4,740,840,3736,5,0,0,0,2,Mavi
605,0,0.5,0,9,0,8,0.9,62,2,4,329,656,2300,8,0,0,0,3,Gri
368,0,3,0,0,0,50,0.2,97,7,8,698,829,2496,5,0,0,0,0,Kahverengi
68,0,0.7,0,9,0,50,0.5,24,4,5,405,900,550,6,0,0,0,4,Sarı
950,0,0.5,0,9,0,55,0,56,5,0,774,843,95,3,0,0,0,4,Siyah
926,0,0.8,0,6,0,59,0.8,60,7,4,84,793,256,2,0,0,0,4,Pembe
777,0,2.2,0,0,0,5,0.2,0,4,7,553,874,552,0,0,0,0,3,Mor
800,0,0.5,0,6,0,52,0.9,20,6,0,0,708,258,9,0,0,0,4,Turuncu
843,0,0.5,0,0,0,56,0,47,5,7,40,800,2340,20,0,0,0,3,Turkuaz
500,0,2.3,0,2,0,54,0.3,30,4,9,504,89,2346,2,0,0,0,3,Gri
44,0,0.8,0,4,0,2,0.7,4,6,5,230,263,794,9,0,0,0,3,Turuncu
545,0,0.5,0,0,0,0,0.3,30,3,0,380,452,606,9,0,0,0,4,Siyah
590,0,2.2,0,3,0,49,0.4,54,6,7,384,883,3703,20,0,0,0,2,Mavi
706,0,0.5,0,3,0,30,0,8,3,9,543,938,2409,4,0,0,0,3,Mavi
703,0,0.5,0,0,0,22,0.6,92,0,0,286,235,46,3,0,0,0,4,Turkuaz
802,0,2.7,0,0,0,0,0.6,0,7,9,253,590,696,3,0,0,0,4,Mor
703,0,0.4,0,4,0,53,0.8,98,0,7,23,477,462,3,0,0,0,4,Yeşil
0,0,0.5,0,2,0,63,0.7,79,8,8,537,760,3744,7,0,0,0,2,Kırmızı
774,0,2.8,0,7,0,55,0.9,24,3,8,8,896,3906,2,0,0,0,2,Gri
379,0,0,0,5,0,36,0.8,200,2,7,538,376,3426,7,0,0,0,2,Kırmızı
67,0,2.4,0,3,0,40,0.6,22,8,5,494,989,604,0,0,0,0,4,Siyah
7,0,2.9,0,5,0,20,0.8,85,8,2,479,830,300,2,0,0,0,4,Kırmızı
760,0,0.5,0,9,0,3,0.8,96,7,5,325,945,2248,5,0,0,0,0,Gri
704,0,2,0,5,0,0,0,97,3,6,750,857,64,9,0,0,0,3,Sarı
705,0,0,0,4,0,30,0.5,83,8,7,638,605,625,3,0,0,0,4,Siyah
680,0,2.5,0,6,0,8,0.3,67,0,7,850,5,2265,20,0,0,0,0,Turuncu
980,0,0.9,0,0,0,2,0,36,3,7,75,688,539,9,0,0,0,4,Kırmızı
72,0,2,0,4,0,40,0,95,3,7,304,884,7,5,0,0,0,3,Beyaz
0,0,2.7,0,0,0,58,0,35,5,2,460,833,862,20,0,0,0,4,Siyah
855,0,0.5,0,5,0,32,0.6,87,8,8,267,60,3933,7,0,0,0,2,Mor
402,0,0.6,0,3,0,46,0.3,87,7,2,80,767,347,2,0,0,0,4,Gri
28,0,2.8,0,0,0,30,0,93,0,0,800,923,424,3,0,0,0,3,Kırmızı
63,0,2.5,0,0,0,30,0.9,95,6,0,295,935,960,5,0,0,0,4,Beyaz
538,0,0,0,0,0,25,0.3,63,7,7,455,537,2205,7,0,0,0,3,Beyaz
74,0,2.4,0,2,0,9,0.9,3,6,4,946,952,948,8,0,0,0,3,Sarı
826,0,0.5,0,0,0,57,0.5,35,2,0,354,530,323,7,0,0,0,4,Siyah
800,0,2.2,0,2,0,63,0.4,65,7,4,650,879,607,9,0,0,0,3,Turkuaz
807,0,0.5,0,2,0,60,0,34,6,6,734,968,3726,5,0,0,0,2,Beyaz
270,0,0.5,0,2,0,32,0,3,7,5,350,949,445,4,0,0,0,4,Yeşil
860,0,0.3,0,0,0,49,0.7,40,6,3,692,979,3869,20,0,0,0,2,Sarı
500,0,3,0,5,0,34,0.9,25,8,3,49,285,3265,4,0,0,0,0,Siyah
656,0,0.6,0,0,0,6,0,7,7,2,320,899,2856,20,0,0,0,0,Gri
575,0,2.5,0,0,0,0,0.2,85,7,20,492,808,2082,7,0,0,0,0,Sarı
407,0,2.7,0,2,0,56,0.9,4,6,4,494,649,590,6,0,0,0,4,Turuncu
606,0,2.5,0,0,0,53,0.2,46,4,2,465,52,223,7,0,0,0,4,Beyaz
